dundasChartControl1_DRG_DataRowGrouping1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_label,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_X,dundasChartControl1_DRG_DataRowGrouping1_dundasChartControl1_DCG_Period1_Value_Y
6 kk,lokakuu,10/31/2023 00:00:00,4.092
6 kk,marraskuu,11/01/2023 00:00:00,4.081
6 kk,marraskuu,11/02/2023 00:00:00,4.072
6 kk,marraskuu,11/03/2023 00:00:00,4.062
6 kk,marraskuu,11/06/2023 00:00:00,4.066
6 kk,marraskuu,11/07/2023 00:00:00,4.072
6 kk,marraskuu,11/08/2023 00:00:00,4.066
6 kk,marraskuu,11/09/2023 00:00:00,4.055
6 kk,marraskuu,11/10/2023 00:00:00,4.074
6 kk,marraskuu,11/13/2023 00:00:00,4.085
6 kk,marraskuu,11/14/2023 00:00:00,4.097
6 kk,marraskuu,11/15/2023 00:00:00,4.076
6 kk,marraskuu,11/16/2023 00:00:00,4.071
6 kk,marraskuu,11/17/2023 00:00:00,4.064
6 kk,marraskuu,11/20/2023 00:00:00,4.058
6 kk,marraskuu,11/21/2023 00:00:00,4.07
6 kk,marraskuu,11/22/2023 00:00:00,4.063
6 kk,marraskuu,11/23/2023 00:00:00,4.062
6 kk,marraskuu,11/24/2023 00:00:00,4.074
6 kk,marraskuu,11/27/2023 00:00:00,4.05
6 kk,marraskuu,11/28/2023 00:00:00,4.026
6 kk,marraskuu,11/29/2023 00:00:00,4.05
6 kk,marraskuu,11/30/2023 00:00:00,4.029
6 kk,joulukuu,12/01/2023 00:00:00,4.004
6 kk,joulukuu,12/04/2023 00:00:00,3.945
6 kk,joulukuu,12/05/2023 00:00:00,3.953
6 kk,joulukuu,12/06/2023 00:00:00,3.95
6 kk,joulukuu,12/07/2023 00:00:00,3.948
6 kk,joulukuu,12/08/2023 00:00:00,3.935
6 kk,joulukuu,12/11/2023 00:00:00,3.955
6 kk,joulukuu,12/12/2023 00:00:00,3.96
6 kk,joulukuu,12/13/2023 00:00:00,3.945
6 kk,joulukuu,12/14/2023 00:00:00,3.938
6 kk,joulukuu,12/15/2023 00:00:00,3.912
6 kk,joulukuu,12/18/2023 00:00:00,3.904
6 kk,joulukuu,12/19/2023 00:00:00,3.922
6 kk,joulukuu,12/20/2023 00:00:00,3.924
6 kk,joulukuu,12/21/2023 00:00:00,3.899
6 kk,joulukuu,12/22/2023 00:00:00,3.895
6 kk,joulukuu,12/27/2023 00:00:00,3.885
6 kk,joulukuu,12/28/2023 00:00:00,3.877
6 kk,joulukuu,12/29/2023 00:00:00,3.861
6 kk,tammikuu,01/01/2024 00:00:00,3.861
6 kk,tammikuu,01/02/2024 00:00:00,3.861
6 kk,tammikuu,01/03/2024 00:00:00,3.882
6 kk,tammikuu,01/04/2024 00:00:00,3.873
6 kk,tammikuu,01/05/2024 00:00:00,3.912
6 kk,tammikuu,01/08/2024 00:00:00,3.929
6 kk,tammikuu,01/09/2024 00:00:00,3.891
6 kk,tammikuu,01/10/2024 00:00:00,3.902
6 kk,tammikuu,01/11/2024 00:00:00,3.92
6 kk,tammikuu,01/12/2024 00:00:00,3.896
6 kk,tammikuu,01/15/2024 00:00:00,3.874
6 kk,tammikuu,01/16/2024 00:00:00,3.867
6 kk,tammikuu,01/17/2024 00:00:00,3.862
6 kk,tammikuu,01/18/2024 00:00:00,3.928
6 kk,tammikuu,01/19/2024 00:00:00,3.908
6 kk,tammikuu,01/22/2024 00:00:00,3.925
6 kk,tammikuu,01/23/2024 00:00:00,3.944
6 kk,tammikuu,01/24/2024 00:00:00,3.922
6 kk,tammikuu,01/25/2024 00:00:00,3.911
6 kk,tammikuu,01/26/2024 00:00:00,3.873
6 kk,tammikuu,01/29/2024 00:00:00,3.866
6 kk,tammikuu,01/30/2024 00:00:00,3.836
6 kk,tammikuu,01/31/2024 00:00:00,3.835
6 kk,helmikuu,02/01/2024 00:00:00,3.832
6 kk,helmikuu,02/02/2024 00:00:00,3.837
6 kk,helmikuu,02/05/2024 00:00:00,3.905
6 kk,helmikuu,02/06/2024 00:00:00,3.922
6 kk,helmikuu,02/07/2024 00:00:00,3.899
12 kk,syyskuu,09/01/2023 00:00:00,4.055
12 kk,syyskuu,09/04/2023 00:00:00,4.049
12 kk,syyskuu,09/05/2023 00:00:00,4.068
12 kk,syyskuu,09/06/2023 00:00:00,4.051
12 kk,syyskuu,09/07/2023 00:00:00,4.078
12 kk,syyskuu,09/08/2023 00:00:00,4.086
12 kk,syyskuu,09/11/2023 00:00:00,4.081
12 kk,syyskuu,09/12/2023 00:00:00,4.103
12 kk,syyskuu,09/13/2023 00:00:00,4.112
12 kk,syyskuu,09/14/2023 00:00:00,4.159
12 kk,syyskuu,09/15/2023 00:00:00,4.169
12 kk,syyskuu,09/18/2023 00:00:00,4.191
12 kk,syyskuu,09/19/2023 00:00:00,4.216
12 kk,syyskuu,09/20/2023 00:00:00,4.222
12 kk,syyskuu,09/21/2023 00:00:00,4.224
12 kk,syyskuu,09/22/2023 00:00:00,4.213
12 kk,syyskuu,09/25/2023 00:00:00,4.208
12 kk,syyskuu,09/26/2023 00:00:00,4.199
12 kk,syyskuu,09/27/2023 00:00:00,4.2
12 kk,syyskuu,09/28/2023 00:00:00,4.221
12 kk,syyskuu,09/29/2023 00:00:00,4.228
12 kk,lokakuu,10/02/2023 00:00:00,4.198
12 kk,lokakuu,10/03/2023 00:00:00,4.208
